id	origin	earliest	latest	form	form_type	is_anonymous	genre	subgenre	has_dramaweb_scan	has_dramaweb_transcription	ceneton_scan	ceneton_transcription	external_scan	external_transcription	fingerprint	literature	remarks	link_ub_antwerp	link_kbb	link_ub_gent	link_bnf	link_kb	link_google	link_bll
"bcb42947-4b7c-4966-a9ae-3ded62aec4bf"	"M129"	"1563-01-01"	"1563-12-31"	"Reprint"	"Full edition"	"f"			"t"	"t"				"f"	"156008 - a1 A2 et$frate : a2 B2 nterci - b1 B3 $regi - b2 H5 ibus$"									
"b5c489ab-3e36-4db0-bada-04d7df6b40bb"	"M57"	"1540-01-01"	"1540-12-31"	"Reprint"	"Full edition"	"f"			"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/ZovitiusDidascalus1540"		"http://books.google.nl/books?id=uwcUAAAAQAAJ&printsec=frontcover&dq=inauthor:%22Jacobus+Zovitius%22&hl=nl&sa=X&ei=ELrgUOfaLaSe0QWX84HIBA&redir_esc=y#v=onepage&q&f=false"	"f"	"000008 - a1 A.ii. me$b : a2 A.iii. o$ - b1 B A.iiii. dum$i : b2 C.iii. s$con"									
"9161ebc9-7816-4f2e-8158-64eeaea26d85"	"M168"	"1592-01-01"	"1592-12-31"	"Reprint"	"Full edition"	"f"	"Comedy"	"Sacred comedy"	"f"	"f"				"f"	"159208 - a1 A2 er$ : a2 P5 ,$ - b1 Q mus : b2 T2 onia - c1 T3 holast : c2 Hh5 re$vetern"									
"2f0075c5-d5cb-4922-b491-57c26b0e7005"	"M169"	"1592-01-01"	"1592-12-31"	"First Printing"	"Full edition"	"f"	"Comedy"	"Sacred comedy"	"f"	"f"				"f"	"159208 - a1 A2 er$ : a2 T2 onia - b1 T3 holast : b2 Y5 ccurr - c1 Z p : c2 Hh5 re$vetern"									
"b44d899f-8a5d-44b5-bbd9-940a4e7bcacb"	"M170"	"1592-01-01"	"1592-12-31"	"Reprint"	"Full edition"	"f"	"Comedy"		"f"	"f"				"f"	"159208 - a1 A2 er$ : a2 M I - b1 M2 eat$m : b2 P5 .$ - c1 Q mus : c2 Hh5 re$vetern"									
"f4c94f5b-566f-43c0-a66a-140d982fba4b"	"M171"	"1592-01-01"	"1592-12-31"	"Reprint"	"Full edition"	"f"	"Comedy"	"Sacred comedy"	"f"	"f"				"f"	"159208 - a1 A2 er$ : a2 E3 aud - b1 E4 bus : b2 H3 ndae$ - c1 H4 ribus : c2 Hh5 re$vetern"									
"29efc3f9-bbce-4374-bd0c-50a9b600a3ba"	"M172"	"1592-01-01"	"1592-12-31"	"First Printing"	"Full edition"	"f"	"Comedy"	"Farce"	"f"	"f"				"f"	"159208 - a1 A2 er$ - b1 Z p : b2 Bb3 talibus - c2 Hh5 re$vetern"									
"053931e8-4619-4c83-8b10-364e5ee8fb66"	"M173"	"1592-01-01"	"1592-12-31"	"First Printing"	"Full edition"	"f"	"Comedy"	"Sacred comedy"	"f"	"f"				"f"	"159208 - a1 A2 er$ : a2 H3 ndae$ - b1 H4 ribus : b2 M I - c1 M2 eat$m c2 Hh5 re$vetern"									
"a40d2292-fa28-4332-87c5-f035178124ab"	"M174"	"1592-01-01"	"1592-12-31"	"Reprint"	"Full edition"	"f"	"Comedy"	"Sacred comedy"	"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SchonaeusTobaeus1591"			"f"	"159208 - a1 A2 er$ : a2 Aiij dis$A - b1 A4 s$ra : b2 E3 aud - c1 E4 bus : c2 2H5 re$vetern"									
"3e9d158a-fe7c-4611-8939-74823bbd09b0"	"M218"	"1601-01-01"	"1601-12-31"	"First Printing"	"Full edition"	"f"	"Tragedy"		"t"	"t"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/GrotiusAdamusExul1601"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/GrotiusAdamusExul1601.html"	"http://books.google.be/books?id=pRY_AAAAcAAJ&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"	"f"	"160104 - a1 Aij q$e : a2 B an - b1 Bij $ : b2 Lij oni,$ - c1 a us : c2 gij ile$f"									
"ddb32ce3-1209-4d1f-aa17-a32a3fc6c8ea"	"M1504"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"	"4"									
"65034498-c8a2-4757-bf5a-5d046255d758"	"M1505"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"4"									
"7638cb0c-149b-472e-936d-307d29a34839"	"M272"	"1615-01-01"	"1615-12-31"	"First Printing"	"Full edition"	"f"	"Tragedy"		"t"	"t"			"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11220009/manifest"	"f"										
"e10d9caa-a668-402c-8009-4f1437fd4320"	"M2131"	"1515-01-01"	"1525-12-31"	"First Printing"	"Full edition"	"f"			"f"	"f"				"f"	"000004 - b1 Aij mum : b2 Bij $"									
"bf578f71-17b7-4007-99b8-bfb02fcf5cd6"	"M7"	"1520-01-01"	"1520-12-31"	"First Printing"	"Full edition"	"f"			"f"	"f"				"f"	"000004 - b1 Aij cia : b2 Biij e."									
"2f0b89ef-a0da-4b1c-b60a-49dbbff18e75"	"M1770"	"1744-01-01"	"1744-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"		"Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php"								
"8b93c30f-2cae-44c6-9ae5-b720d4f3f4d5"	"M1771"	"1744-01-01"	"1744-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"										
"780bb6df-e2c8-4a4a-b9f1-1d32930eee44"	"M1774"	"1744-01-01"	"1744-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragicomedy"		"f"	"f"				"f"		"Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php"								
"ecd4bc57-219c-4332-bb48-8cc682c053db"	"M1778"	"1744-01-01"	"1744-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comical tragedy"		"f"	"f"				"f"		"Goran Proot, 'Het toneel van de Antwerpse Augustijnen (1671-1783)' in: De Gulden Passer. Jaargang 76-77 (1998-1999), p. 183-194, via: https://www.dbnl.org/tekst/_gul005199801_01/_gul005199801_01_0008.php"								
"230526fc-bf2a-47f0-9273-e47c85ddccda"	"M1780"	"1744-01-01"	"1744-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"					"https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18400950 "					
"a08a2ad5-d38c-4e8f-81f4-b7bb261aca30"	"M1823"	"1749-01-01"	"1749-12-31"	"Mention"	"Fragment"	"f"	"Comedy"		"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJSalomonMechelen1749"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJSalomonMechelen1749.html"		"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"dbc85cf3-743f-417c-b3d8-040217ea8d61"	"M1833"	"1749-01-01"	"1749-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJSalomonMechelen1749"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJSalomonMechelen1749.html"		"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"ee93a8d9-2bef-4baa-8a03-07a859fc312b"	"M1904"	"1756-01-01"	"1756-12-31"	"Mention"	"Fragment"	"f"	"Comedy"	"Farce"	"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJSalomonaAntwerpen1756"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJSalomonaAntwerpen1756.html"	"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"f374d548-228d-4ea7-b8e4-4ae164e210b8"	"M1909"	"1756-01-01"	"1756-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJSalomonaAntwerpen1756"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJSalomonaAntwerpen1756.html"	"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"17352fb6-17f2-4320-a733-7fe260417c4b"	"M642"	"1656-01-01"	"1656-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJSapriciusBrugge1656"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJSapriciusBrugge1656.html"		"f"										
"588576e4-c248-4442-8e8d-3e53e127e91a"	"M779"	"1671-01-01"	"1671-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://books.google.nl/books?id=DwgUAAAAQAAJ&printsec=frontcover&hl=nl#v=onepage&q&f=false"	"f"										
"4e7c4351-1ae7-4b2d-86ad-02dde19d3297"	"M41"	"1539-01-01"	"1539-12-31"	"Reprint"	"Full edition"	"f"	"Comedy"	"Sacred comedy"	"f"	"f"				"f"	"153908 - a1 A2 $q$dif : a2 A3 inis$ - b1 A4 æterum : b2 D4 S.$ - c1 D5 ;$lacert"									
"946973b8-9e77-45d8-acce-a5c08d92476f"	"M219"	"1602-01-01"	"1602-12-31"	"First Printing"	"Full edition"	"f"	"Tragedy"		"t"	"t"		"https://www.let.leidenuniv.nl/Dutch/Ceneton/HeinsiusAuriacus1602.html"	"https://books.google.nl/books?id=Ki08oXL_3S4C&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"	"f"	"160204 - a1 A5 [=A3] ba : b2 D2 $ius - b1 A dus$i : b2 L3 uine - c1 M2 ent - c2 S2 tr"									
"5f87d1b7-76c4-4e37-ba09-24459e84cf0c"	"M284"	"1617-01-01"	"1617-12-31"	"Reprint"	"Full edition"	"f"	"Tragedy"		"f"	"f"				"f"	"161708 - a1 Gg AT - b1 Gg2 noscor$ : b2 Kk3 IS."									
"aec0ed8a-47df-4ac7-90bf-cdeed8250050"	"M333"	"1625-01-01"	"1625-12-31"	"Reprint"	"Full edition"	"f"	"Tragedy"		"f"	"f"				"f"	"162524 - a1 *2 qu : a2 D5 ELE - b1 E co : b2 F mn - c1 F3 $mox$ : c2 I4 s$ta"									
"a941a8ba-7f2d-4891-8c23-0a8fa4d4bc75"	"M334"	"1625-01-01"	"1625-12-31"	"Reprint"	"Full edition"	"f"	"Tragedy"		"f"	"f"				"f"	"162524 - a1 F3 $mox$ - b1 F4 nis$ : b2 G6 $Qui - c1 H o : c2 I4 s$ta"									
"9b422405-fab8-454f-8d44-386ef45b5d13"	"M1019"	"1703-01-01"	"1703-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"a6f76ee0-749b-42d4-bcd9-358b4e9b978b"	"M1076"	"1711-01-01"	"1711-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"					"https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18400064"					
"0933e016-a371-4735-98ca-b72246a1c938"	"M1110"	"1715-01-01"	"1715-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"					"https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18400104"					
"453c3d59-7aa2-4910-9d11-5b0904b69608"	"M1111"	"1715-01-01"	"1715-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"					"https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18400265"					
"04ece791-9d41-4860-b43e-85cc99bc50fc"	"M2237"	"1691-01-01"	"1715-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"					"https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18402716"					
"aab61506-afb7-4191-aaa5-d7b783d7f35f"	"M2238"	"1691-01-01"	"1715-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"					"https://opac.kbr.be/LIBRARY/doc/SYRACUSE/18402741 "					
"836d12ca-993d-4f63-a1fc-4d1e856d4ed1"	"M450"	"1636-01-01"	"1636-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"4"									
"171dde55-3d7f-41f3-b16d-427abb6988c7"	"M905"	"1695-01-01"	"1695-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"2f07b81f-ee9a-474e-933f-9d3f58f3840a"	"M912"	"1697-01-01"	"1697-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"4"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"b93a7e3a-3f83-434c-bab2-5b20e8f46fba"	"M917"	"1697-01-01"	"1697-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"4"									
"a7f2b0e4-d6ab-4b91-9718-5966c4648867"	"M1418"	"1728-01-01"	"1728-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"0e6e7ffb-e55e-4a44-8b8a-8950b638a9d4"	"M1438"	"1729-01-01"	"1729-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14023730/N"						
"7cb76e58-8802-4682-9a6b-571b698f5ff2"	"M1464"	"1729-01-01"	"1729-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14052660/N"						
"05f879b0-3279-4f73-8f82-84651260bdc6"	"M1479"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJAthaliaKortrijk1730"			"f"	"2"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"7883d9d1-bc65-47c9-8eb2-b7bc3df0418e"	"M1480"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"	"2"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"335094e2-9da4-405b-b5ff-c4138d3a0aa0"	"M1501"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comical tragedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"										
"f5294589-d044-4096-9828-c4de8f18033d"	"M1512"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"2b932b2e-e2d1-4fae-884f-eef301046bd0"	"M1527"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"										
"2e14af5a-4d6c-47ed-b52f-e4353ee49f92"	"M1554"	"1731-01-01"	"1731-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"										
"24204698-0a9c-4099-818d-5e96d50963e2"	"M1557"	"1731-01-01"	"1731-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"2"									
"fbf00d5e-4ba2-426c-8a45-948b22ca4c58"	"M1558"	"1731-01-01"	"1731-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"2"									
"66bfe7e9-001d-450b-bcfd-4f469b8c3a9d"	"M1560"	"1731-01-01"	"1731-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"e375ade8-e69f-4fa3-afec-d4737ed1ddf4"	"M1562"	"1731-01-01"	"1731-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"										
"487316c4-ca8c-46fb-8ca1-edc674f1942c"	"M1576"	"1732-01-01"	"1732-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"f734f7ff-658f-49a1-a3b5-91a86a1b333d"	"M1585"	"1732-01-01"	"1732-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"4"									
"4382ffe0-8ade-4390-b8d3-676c4c548488"	"M1604"	"1732-01-01"	"1732-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"ca993765-dd14-4a38-8036-3fbaa7445e22"	"M1634"	"1733-01-01"	"1733-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"000004 - "									
"de64ab67-20cf-49c4-a8da-1dea303f8a2a"	"M1637"	"1733-01-01"	"1733-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"592a4d97-7113-40ef-9b17-e962cfb52959"	"M1660"	"1733-01-01"	"1733-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"2bb92c0e-27d9-4e4d-8a34-9fd2fe99833a"	"M1695"	"1737-01-01"	"1737-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"2"									
"8b9343ed-0d92-4be2-92eb-ce3a0493760b"	"M1700"	"1737-01-01"	"1737-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"	"2"									
"80046511-63dc-444f-90de-88a3f2a10fb8"	"M632"	"1654-01-01"	"1654-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"							"https://catalogue.bnf.fr/ark:/12148/cb38684404m"			
"f535c915-83e0-4027-8321-a4b25b5da245"	"M638"	"1655-01-01"	"1655-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"4"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"faf70438-4339-4949-b4f0-86c62a3a0103"	"M669"	"1658-01-01"	"1658-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJManassesIeper1658"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJManassesIeper1658.html"		"f"										
"ea13dedc-50ab-4845-96b8-54f28591afa2"	"M692"	"1661-01-01"	"1661-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"1c1a5fb3-c9d0-4363-ae00-b7438ac154d6"	"M695"	"1662-01-01"	"1662-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"717f721b-8cd7-4228-9f1e-5f2c891e3604"	"M698"	"1662-01-01"	"1662-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"0219d0b1-bb90-4a4d-ac87-93e6af8a6a5c"	"M701"	"1662-01-01"	"1662-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"0f76a4e7-2f68-4298-bbd2-5cb4f947666b"	"M730"	"1663-01-01"	"1663-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"166304"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"633ffc57-d145-4c63-b28e-c8178ff5d66a"	"M732"	"1664-01-01"	"1664-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166404"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"be815750-8ce7-451e-ab3e-d8c98a011a88"	"M736"	"1664-01-01"	"1664-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"61851a3d-1a7a-4d24-843a-e08834fc7ce7"	"M742"	"1665-01-01"	"1665-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166504"									
"43504fa6-9558-4762-9b76-1a47804a0ec7"	"M743"	"1665-01-01"	"1665-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166504"									
"a5e28f17-7323-4a87-b6a8-21050ee7eb32"	"M752"	"1666-01-01"	"1666-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166604"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"d36651da-ae27-4722-8441-c5136bd6dd43"	"M754"	"1666-01-01"	"1666-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJCasselAdonias1666"			"f"	"4"									
"1f3da80e-ddcd-4601-9f96-279f37aa8f15"	"M810"	"1678-01-01"	"1678-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"ce660570-bef8-4b8a-a9b6-f6551dee0209"	"M831"	"1680-01-01"	"1680-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"4"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"29c9af07-0a52-4719-bc1e-8d0c811742bc"	"M841"	"1682-01-01"	"1682-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"168208"									
"ce0a5a1b-450c-4021-8168-5d7560704c6d"	"M1103"	"1715-01-01"	"1715-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14031503/N"						
"bf7e857a-0af7-48b6-9577-ab52fadbf0ab"	"M1137"	"1717-01-01"	"1717-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14029061/N"						
"eceea297-b51f-4f29-b86c-ebcd2912b063"	"M1144"	"1718-01-01"	"1718-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"t"	"t"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"										
"ba0056f5-22c7-4fca-925f-3511c35a755c"	"M1154"	"1718-01-01"	"1718-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14051212/N"						
"382257fc-52bb-4c0d-af84-6009935a569f"	"M1194"	"1721-01-01"	"1721-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:856958/N"						
"ac310c0d-7267-4666-ba27-b3f0381a8334"	"M1212"	"1722-01-01"	"1722-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14023792/N"						
"9cbbf26e-67ef-4e00-add0-41976458ed5a"	"M275"	"1616-01-01"	"1616-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"1a9adf7e-37ef-4ac1-a6a1-a76aa1bc0d41"	"M293"	"1619-01-01"	"1619-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"https://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10007739_00003.html"	"f"										
"322102cf-49b4-449b-9ca5-57a8b856aa48"	"M1291"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"		"https://anet.be/record/opacuantwerpen/c:lvd:14049677/N"						
"47c44883-076e-46f7-8174-626ee998ce62"	"M40"	"1539-01-01"	"1539-12-31"	"Reprint"	"Full edition"	"f"			"f"	"f"				"f"	"153908 - b1 A3 re : b2 E4 $tua"									
"538736ae-c554-4dd8-a1a9-d7c353c0bea3"	"M509"	"1639-01-01"	"1639-12-31"	"Reprint"	"Full edition"	"f"			"f"	"f"				"f"										
